what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1269022502351
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1269022505250
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269022505978
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1269022506711
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1269022511073
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1269022513292
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269022517563
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1269022535131
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1269022536819
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269022540933
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1269022543372
activated,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1269022548038
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269022561182
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269022579610
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269022581057
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1269022581095
activated,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1269022584036
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20090520-1800,"org.eclipse.equinox.http.jetty",1269022584277
started,bundle,org.eclipse.equinox.http.servlet,1.0.200.v20090520-1800,"org.eclipse.equinox.http.servlet",1269022584323
started,bundle,org.eclipse.equinox.http.registry,1.0.200.v20090520-1800,"org.eclipse.equinox.http.registry",1269022584497
started,bundle,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser",1269022584545
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269022584588
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.100.v20090520-1800,"org.eclipse.equinox.jsp.jasper.registry",1269022584830
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20090520-1800,"org.eclipse.equinox.jsp.jasper",1269022584847
started,bundle,org.eclipse.help.webapp,3.4.1.v20091009_35x,"org.eclipse.help.webapp",1269022585549
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269022591663
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269022593348
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269022640752
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269022657942
activated,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1269022679228
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269022702205
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1269022704870
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1269022706870
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1269022708783
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269022711478
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269022720578
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269022728669
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269022739179
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1269022740839
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269022741845
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269022744863
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269022755092
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269025802331
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269025803123
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269025807709
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269025813675
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269025821236
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1269025822389
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1269025826246
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1269025826791
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1269025827812
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1269025833277
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1269025835222
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269025836743
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1269025838883
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269025849696
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269025851630
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1269025851680
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1269025851680
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269025856378
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269025866260
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1269025866297
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269025869486
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269025875020
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1269025875070
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269025875973
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269025877949
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269025879182
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1269025880917
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1269025884047
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269025885527
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1269025888170
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269025932143
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026303844
activated,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1269026303899
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269026312193
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1269026329913
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1269026331626
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026355286
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026357091
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1269026361059
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269026366208
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1269026370737
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026370769
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026374116
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1269026376091
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026389783
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269026393170
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026393215
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026393384
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026394655
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1269026394695
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1269026394695
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026396982
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026529318
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026530599
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269026572214
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026572295
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026606984
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026636936
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026640598
activated,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1269026651387
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026651460
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026654103
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026660534
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026667991
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026669723
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026682495
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269026710268
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026710368
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1269026711644
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1269026713064
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1269026713265
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269026716319
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269027802322
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269027809360
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269027811284
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269027818584
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269027821852
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.textEnd",1269027823582
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.textStart",1269027824518
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1269027825631
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1269027842723
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1269027843123
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269027854586
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269027859983
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269027860058
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269027860954
