what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"cocoa",1304546382620
locale,sysinfo,,,"en_US",1304546382620
processors,sysinfo,,,"2",1304546382620
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1304546382620
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334-10M3326",1304546382620
java.specification.name,sysinfo,,,"Java Platform API Specification",1304546382620
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304546382620
java.specification.version,sysinfo,,,"1.6",1304546382620
java.vendor,sysinfo,,,"Apple Inc.",1304546382620
java.version,sysinfo,,,"1.6.0_24",1304546382620
java.vm.info,sysinfo,,,"mixed mode",1304546382620
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1304546382620
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1304546382620
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304546382620
java.vm.specification.version,sysinfo,,,"1.0",1304546382620
java.vm.vendor,sysinfo,,,"Apple Inc.",1304546382620
java.vm.version,sysinfo,,,"19.1-b02-334",1304546382620
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1304546382743
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1304546383042
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1304546383067
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1304546448606
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304546448609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304546448716
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304546470089
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304546477828
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304546496672
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304546496836
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1304546524607
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304546547374
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304546549240
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304546557661
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304546558928
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304546558974
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304546894813
